
Host: ed2

JK: K       :       0.09u       0.05s   0.185460w  25010 calls
JK: K1      :       0.05u       0.04s   0.119022w  75020 calls
JK: K2      :       0.02u       0.01s   0.027944w  50015 calls
JK: AO2USO  :       0.01u       0.00s   0.006649w  25010 calls
DIISManager::add_entry:       0.00u       0.00s   0.001404w      4 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000057w      3 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000005w      3 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000025w      3 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000020w      3 calls
HF: Form G  :       0.00u       0.00s   0.000083w      3 calls
HF: Form F  :       0.00u       0.00s   0.000004w      3 calls
HF: DIIS    :       0.00u       0.00s   0.001436w      3 calls
HF: Form C  :       0.00u       0.00s   0.000058w      3 calls
HF: Form D  :       0.00u       0.00s   0.000002w      3 calls

***********************************************************

Host: ed2

Timers On : Wed Mar 29 13:14:18 2017
Timers Off: Wed Mar 29 13:14:42 2017

Wall Time:       24.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000207w      3 calls
JK: (A|Q)^-1/2:       0.06u       0.00s   0.056859w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000021w      3 calls
HF: Form H  :       0.00u       0.00s 0.00820600w      1 call
HF: Form S/X:       0.00u       0.00s 0.00014100w      1 call
HF: Guess   :       0.06u       0.00s 0.06178000w      1 call
SAD Guess   :       0.05u       0.00s 0.05044400w      1 call
JK: D       :       0.01u       0.00s   0.013769w  25010 calls
JK: USO2AO  :       0.01u       0.01s   0.024160w  25010 calls
JK: JK      :       0.24u       0.17s   0.469184w  25010 calls
JK: J       :       0.03u       0.05s   0.077719w  25010 calls
JK: J1      :       0.01u       0.02s   0.027727w  50017 calls
JK: J2      :       0.01u       0.00s   0.021516w  50017 calls
JK: K       :       0.10u       0.07s   0.191828w  25010 calls
JK: K1      :       0.09u       0.03s   0.122907w  75020 calls
JK: K2      :       0.01u       0.01s   0.028546w  50015 calls
JK: AO2USO  :       0.00u       0.00s   0.006701w  25010 calls
DIISManager::add_entry:       0.00u       0.00s   0.001740w      4 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000056w      3 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000006w      3 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000025w      3 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000018w      3 calls
HF: Form G  :       0.00u       0.00s   0.000093w      3 calls
HF: Form F  :       0.00u       0.00s   0.000004w      3 calls
HF: DIIS    :       0.00u       0.00s   0.001785w      3 calls
HF: Form C  :       0.00u       0.00s   0.000046w      3 calls
HF: Form D  :       0.00u       0.00s   0.000003w      3 calls

***********************************************************

Host: ed2

Timers On : Wed Mar 29 13:35:48 2017
Timers Off: Wed Mar 29 13:36:12 2017

Wall Time:       24.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000255w      3 calls
JK: (A|Q)^-1/2:       0.06u       0.00s   0.057620w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000021w      3 calls
HF: Form H  :       0.01u       0.00s 0.00738300w      1 call
HF: Form S/X:       0.00u       0.00s 0.00009700w      1 call
HF: Guess   :       0.05u       0.00s 0.05834600w      1 call
SAD Guess   :       0.05u       0.00s 0.05017700w      1 call
JK: D       :       0.00u       0.01s   0.014621w  25010 calls
JK: USO2AO  :       0.01u       0.01s   0.024090w  25010 calls
JK: JK      :       0.17u       0.12s   0.467769w  25010 calls
JK: J       :       0.05u       0.04s   0.076939w  25010 calls
JK: J1      :       0.02u       0.01s   0.026982w  50017 calls
JK: J2      :       0.01u       0.01s   0.021364w  50017 calls
JK: K       :       0.08u       0.06s   0.188361w  25010 calls
JK: K1      :       0.04u       0.02s   0.120877w  75020 calls
JK: K2      :       0.02u       0.01s   0.027895w  50015 calls
JK: AO2USO  :       0.00u       0.00s   0.006881w  25010 calls
DIISManager::add_entry:       0.00u       0.01s   0.001800w      4 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000056w      3 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000006w      3 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000026w      3 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000020w      3 calls
HF: Form G  :       0.00u       0.00s   0.000082w      3 calls
HF: Form F  :       0.00u       0.00s   0.000004w      3 calls
HF: DIIS    :       0.00u       0.01s   0.001834w      3 calls
HF: Form C  :       0.00u       0.00s   0.000046w      3 calls
HF: Form D  :       0.00u       0.00s   0.000003w      3 calls

***********************************************************

Host: ed2

Timers On : Wed Mar 29 14:29:18 2017
Timers Off: Wed Mar 29 14:29:40 2017

Wall Time:       22.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000181w      3 calls
JK: (A|Q)^-1/2:       0.06u       0.00s   0.055428w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000021w      3 calls
HF: Form H  :       0.00u       0.00s 0.00778800w      1 call
HF: Form S/X:       0.00u       0.00s 0.00006100w      1 call
HF: Guess   :       0.06u       0.00s 0.05733600w      1 call
SAD Guess   :       0.05u       0.00s 0.04989100w      1 call
JK: D       :       0.00u       0.01s   0.013670w  25010 calls
JK: USO2AO  :       0.01u       0.00s   0.022181w  25010 calls
JK: JK      :       0.22u       0.12s   0.440107w  25010 calls
JK: J       :       0.01u       0.01s   0.073693w  25010 calls
JK: J1      :       0.01u       0.00s   0.025572w  50017 calls
JK: J2      :       0.00u       0.00s   0.020923w  50017 calls
JK: K       :       0.12u       0.06s   0.179586w  25010 calls
JK: K1      :       0.06u       0.03s   0.115452w  75020 calls
JK: K2      :       0.02u       0.00s   0.026033w  50015 calls
JK: AO2USO  :       0.00u       0.02s   0.006320w  25010 calls
DIISManager::add_entry:       0.00u       0.00s   0.001492w      4 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000048w      3 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000006w      3 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000022w      3 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000012w      3 calls
HF: Form G  :       0.00u       0.00s   0.000076w      3 calls
HF: Form F  :       0.00u       0.00s   0.000003w      3 calls
HF: DIIS    :       0.00u       0.00s   0.001522w      3 calls
HF: Form C  :       0.00u       0.00s   0.000042w      3 calls
HF: Form D  :       0.00u       0.00s   0.000003w      3 calls

***********************************************************

Host: ed2

Timers On : Wed Mar 29 15:19:06 2017
Timers Off: Wed Mar 29 15:19:29 2017

Wall Time:       23.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000223w      3 calls
JK: (A|Q)^-1/2:       0.06u       0.00s   0.057137w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000021w      3 calls
HF: Form H  :       0.00u       0.00s 0.00811300w      1 call
HF: Form S/X:       0.00u       0.00s 0.00013800w      1 call
HF: Guess   :       0.06u       0.00s 0.05920400w      1 call
SAD Guess   :       0.05u       0.00s 0.04847100w      1 call
JK: D       :       0.01u       0.02s   0.012914w  25010 calls
JK: USO2AO  :       0.01u       0.00s   0.023524w  25010 calls
JK: JK      :       0.28u       0.14s   0.456940w  25010 calls
JK: J       :       0.02u       0.01s   0.074403w  25010 calls
JK: J1      :       0.02u       0.00s   0.025890w  50017 calls
JK: J2      :       0.00u       0.00s   0.021169w  50017 calls
JK: K       :       0.16u       0.06s   0.185882w  25010 calls
JK: K1      :       0.14u       0.02s   0.118932w  75020 calls
JK: K2      :       0.01u       0.00s   0.028232w  50015 calls
JK: AO2USO  :       0.00u       0.00s   0.006640w  25010 calls
DIISManager::add_entry:       0.00u       0.00s   0.002032w      4 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000054w      3 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000006w      3 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000025w      3 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000018w      3 calls
HF: Form G  :       0.00u       0.00s   0.000079w      3 calls
HF: Form F  :       0.00u       0.00s   0.000005w      3 calls
HF: DIIS    :       0.00u       0.00s   0.002062w      3 calls
HF: Form C  :       0.00u       0.00s   0.000043w      3 calls
HF: Form D  :       0.00u       0.00s   0.000001w      3 calls

***********************************************************

Host: ed2

Timers On : Wed Mar 29 15:26:30 2017
Timers Off: Wed Mar 29 15:26:53 2017

Wall Time:       23.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000217w      3 calls
JK: (A|Q)^-1/2:       0.05u       0.00s   0.057231w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000020w      3 calls
HF: Form H  :       0.00u       0.00s 0.00761200w      1 call
HF: Form S/X:       0.00u       0.00s 0.00015000w      1 call
HF: Guess   :       0.06u       0.00s 0.05944100w      1 call
SAD Guess   :       0.05u       0.00s 0.04823400w      1 call
JK: D       :       0.03u       0.00s   0.013830w  25010 calls
JK: USO2AO  :       0.03u       0.02s   0.024621w  25010 calls
JK: JK      :       0.31u       0.13s   0.463721w  25010 calls
JK: J       :       0.04u       0.02s   0.075971w  25010 calls
